2017 다모아 빅데이터 기관정보 (부산),,,,,,,,,
번호,강좌지역,기관유형,기관분류,기관명,주소(도로명),대표전화,홈페이지,상태,비고
156,부산광역시 ,공공,주민자치기관,장림제2동 주민센터,부산광역시 사하구 장평로 131,051-220-5301,https://jumin.busan.go.kr/dong/jangrim2/main/main.jsp,,
157,부산광역시 ,공공,주민자치기관,다대제1동 주민센터,부산광역시 사하구 다대로530번길 7,051-220-5331,https://jumin.busan.go.kr/dong/dadae1/main/main.jsp,,
158,부산광역시 ,공공,주민자치기관,다대제2동 주민센터,부산광역시 사하구 다대로429번길 30,051-220-5361,https://jumin.busan.go.kr/dong/dadae2/main/main.jsp,,
159,부산광역시 ,공공,주민자치기관,구평동 주민센터,부산광역시 사하구 서포로 48,051-220-5391,https://jumin.busan.go.kr/dong/gupyeong/main/main.jsp,,
160,부산광역시 ,공공,주민자치기관,감천제1동 주민센터,부산광역시 사하구 감천로117번길 2,051-220-5421,https://jumin.busan.go.kr/dong/gamcheon1/main/main.jsp,,
161,부산광역시 ,공공,주민자치기관,감천제2동 주민센터,부산광역시 사하구 옥천로93번길 14,051-220-5451,https://jumin.busan.go.kr/dong/gamcheon2/main/main.jsp,,
162,부산광역시 ,공공,국가 및 지자체,금정구청,부산광역시 금정구 중앙대로 1777,051-519-4000,http://www.geumjeong.go.kr/,,
163,부산광역시 ,공공,주민자치기관,서제1동 주민센터,부산광역시 금정구 서부로69번길 17,051-519-5100,https://jumin.busan.go.kr/dong/seo1/main/main.jsp,,
164,부산광역시 ,공공,주민자치기관,서제2동 주민센터,부산광역시 금정구 서동중심로 33,051-519-5120,https://jumin.busan.go.kr/dong/seo2/main/main.jsp,,
165,부산광역시 ,공공,주민자치기관,서제3동 주민센터,부산광역시 금정구 서곡로33번길 9,051-519-5140,https://jumin.busan.go.kr/dong/seo3/main/main.jsp,,
166,부산광역시 ,공공,주민자치기관,금사동 주민센터,부산광역시 금정구 금사로85번길 12,051-519-5180,https://jumin.busan.go.kr/dong/geumsa/main/main.jsp,,
167,부산광역시 ,공공,주민자치기관,부곡제1동 주민센터,부산광역시 금정구 동부곡로6번길 29,051-519-5200,https://jumin.busan.go.kr/dong/bugok1/main/main.jsp,,
168,부산광역시 ,공공,주민자치기관,부곡제2동 주민센터,부산광역시 금정구 부곡로156번길 7,051-519-5220,https://jumin.busan.go.kr/dong/bugok2/main/main.jsp,,
169,부산광역시 ,공공,주민자치기관,부곡제3동 주민센터,부산광역시 금정구 기찰로 107,051-519-5240,https://jumin.busan.go.kr/dong/bugok3/main/main.jsp,,
170,부산광역시 ,공공,주민자치기관,부곡제4동 주민센터,부산광역시 금정구 부곡로18번안길 37,051-519-5260,https://jumin.busan.go.kr/dong/bugok4/main/main.jsp,,
171,부산광역시 ,공공,주민자치기관,장전제1동 주민센터,부산광역시 금정구 금강로335번길 27,051-519-5280,https://jumin.busan.go.kr/dong/jangjeon1/main/main.jsp,,
172,부산광역시 ,공공,주민자치기관,장전제2동 주민센터,부산광역시 금정구 소정로 19,051-519-5300,https://jumin.busan.go.kr/dong/jangjeon2/main/main.jsp,,
173,부산광역시 ,공공,주민자치기관,장전제3동 주민센터,부산광역시 금정구 금정로 29-6,051-519-5320,https://jumin.busan.go.kr/dong/jangjeon3/main/main.jsp,,
174,부산광역시 ,공공,주민자치기관,선두구동 주민센터,부산광역시 금정구 두구죽전1길 13,051-519-5340,https://jumin.busan.go.kr/dong/seondugu/main/main.jsp,,
175,부산광역시 ,공공,주민자치기관,청룡노포동 주민센터,부산광역시 금정구 청룡로 25,051-519-5360,https://jumin.busan.go.kr/dong/cheongnyongnopo/main/main.jsp,,
176,부산광역시 ,공공,주민자치기관,남산동 주민센터,부산광역시 금정구 중앙대로2097번길 4,051-519-5380,https://jumin.busan.go.kr/dong/namsan/main/main.jsp,,
177,부산광역시 ,공공,주민자치기관,구서제1동 주민센터,부산광역시 금정구 수림로72번길 123,051-519-4916,https://jumin.busan.go.kr/dong/guseo1/main/main.jsp,,
178,부산광역시 ,공공,주민자치기관,구서제2동 주민센터,부산광역시 금정구 두실로7번길 115,051-519-5420,https://jumin.busan.go.kr/dong/guseo2/main/main.jsp,,
179,부산광역시 ,공공,주민자치기관,금성동 주민센터,부산광역시 금정구 산성로 452,051-519-5440,https://jumin.busan.go.kr/dong/geumseong/main/main.jsp,,
180,부산광역시 ,공공,국가 및 지자체,연제구청,부산광역시 연제구 연제로 2,051-665-4000,http://www.yeonje.go.kr/,,
181,부산광역시 ,공공,주민자치기관,거제제1동 주민센터,부산광역시 연제구 법원북로 88,051-665-5711,https://jumin.busan.go.kr/dong/geoje1/main/main.jsp,,
182,부산광역시 ,공공,주민자치기관,거제제2동 주민센터,부산광역시 연제구 아시아드대로22번길 19,051-665-5731,https://jumin.busan.go.kr/dong/geoje2/main/main.jsp,,
183,부산광역시 ,공공,주민자치기관,거제제3동 주민센터,부산광역시 연제구 거제대로 180,051-665-5751,https://jumin.busan.go.kr/dong/geoje3/main/main.jsp,,
184,부산광역시 ,공공,주민자치기관,거제제4동 주민센터,부산광역시 연제구 해맞이로 53,051-665-5771,https://jumin.busan.go.kr/dong/geoje4/main/main.jsp,,
185,부산광역시 ,공공,주민자치기관,연산제1동 주민센터,부산광역시 연제구 연동로8번길 66,051-665-5791,https://jumin.busan.go.kr/dong/yeonsan1/main/main.jsp,,
186,부산광역시 ,공공,주민자치기관,연산제2동 주민센터,부산광역시 연제구 중앙대로1038번길 39,051-665-5811,https://jumin.busan.go.kr/dong/yeonsan2/main/main.jsp,,
187,부산광역시 ,공공,주민자치기관,연산제3동 주민센터,부산광역시 연제구 연수로218번길 4,051-665-5831,https://jumin.busan.go.kr/dong/yeonsan3/main/main.jsp,,
188,부산광역시 ,공공,주민자치기관,연산제4동 주민센터,부산광역시 연제구 쌍미천로151번길 42,051-665-5851,https://jumin.busan.go.kr/dong/yeonsan4/main/main.jsp,,
189,부산광역시 ,공공,주민자치기관,연산제5동 주민센터,부산광역시 연제구 거제천로124번길 15,051-665-5871,https://jumin.busan.go.kr/dong/yeonsan5/main/main.jsp,,
190,부산광역시 ,공공,주민자치기관,연산제6동 주민센터,부산광역시 연제구 쌍미천로52번길 2,051-665-5891,https://jumin.busan.go.kr/dong/yeonsan6/main/main.jsp,,
191,부산광역시 ,공공,주민자치기관,연산제8동 주민센터,부산광역시 연제구 과정로251번길 33,051-665-5911,https://jumin.busan.go.kr/dong/yeonsan8/main/main.jsp,,
192,부산광역시 ,공공,주민자치기관,연산제9동 주민센터,부산광역시 연제구 안연로8번길 71,051-665-5931,https://jumin.busan.go.kr/dong/yeonsan9/main/main.jsp,,
193,부산광역시 ,공공,국가 및 지자체,수영구청,부산광역시 수영구 남천동로 100,051-610-4000,http://www.suyeong.go.kr/,,
194,부산광역시 ,공공,주민자치기관,남천제1동 주민센터,부산광역시 수영구 남천동로 13,051-610-8900,https://jumin.busan.go.kr/dong/namcheon1/main/main.jsp,,
195,부산광역시 ,공공,주민자치기관,남천제2동 주민센터,부산광역시 수영구 광안해변로 99,051-610-8910,https://jumin.busan.go.kr/dong/namcheon2/main/main.jsp,,
196,부산광역시 ,공공,주민자치기관,수영동 주민센터,부산광역시 수영구 수영성로 36,051-610-8920,https://jumin.busan.go.kr/dong/suyeong/main/main.jsp,,
197,부산광역시 ,공공,주민자치기관,망미제1동 주민센터,부산광역시 수영구 연수로315번길 23,051-610-8930,https://jumin.busan.go.kr/dong/mangmi1/main/main.jsp,,
198,부산광역시 ,공공,주민자치기관,망미제2동 주민센터,부산광역시 수영구 구락로81번길 40,051-610-8940,https://jumin.busan.go.kr/dong/mangmi2/main/main.jsp,,
199,부산광역시 ,공공,주민자치기관,광안제1동 주민센터,부산광역시 수영구 광일로14번길 17,051-610-8950,https://jumin.busan.go.kr/dong/gwangan1/main/main.jsp,,
200,부산광역시 ,공공,주민자치기관,광안제2동 주민센터,부산광역시 수영구 광안로16번길 22,051-610-8960,https://jumin.busan.go.kr/dong/gwangan2/main/main.jsp,,
201,부산광역시 ,공공,주민자치기관,광안제3동 주민센터,부산광역시 수영구 망미번영로38번길 103,051-610-8970,https://jumin.busan.go.kr/dong/gwangan3/main/main.jsp,,
202,부산광역시 ,공공,주민자치기관,광안제4동 주민센터,부산광역시 수영구 호암로9번길 34,051-610-8980,https://jumin.busan.go.kr/dong/gwangan4/main/main.jsp,,
203,부산광역시 ,공공,주민자치기관,민락동 주민센터,부산광역시 수영구 광안해변로295번길 20,051-610-8990,https://jumin.busan.go.kr/dong/millak/main/main.jsp,,
204,부산광역시 ,공공,국가 및 지자체,사상구청,부산광역시 사상구 학감대로 242,051-310-4000,https://www.sasang.go.kr,,
205,부산광역시 ,공공,주민자치기관,삼락동 주민센터,부산광역시 사상구 낙동대로1310번길 19,051-310-3020,https://jumin.busan.go.kr/dong/samnak/main/main.jsp,,
206,부산광역시 ,공공,주민자치기관,모라제1동 주민센터,부산광역시 사상구 백양대로 952,051-310-3040,https://jumin.busan.go.kr/dong/mora1/main/main.jsp,,
207,부산광역시 ,공공,주민자치기관,모라제3동 주민센터,부산광역시 사상구 모라로110번길 99,051-310-3060,https://jumin.busan.go.kr/dong/mora3/main/main.jsp,,
208,부산광역시 ,공공,주민자치기관,덕포제1동 주민센터,부산광역시 사상구 사상로292번길 12,051-310-3080,https://jumin.busan.go.kr/dong/deokpo1/main/main.jsp,,
209,부산광역시 ,공공,주민자치기관,덕포제2동 주민센터,부산광역시 사상구 사상로333번길 17,051-310-3100,https://jumin.busan.go.kr/dong/deokpo2/main/main.jsp,,
210,부산광역시 ,공공,주민자치기관,괘법동 주민센터,부산광역시 사상구 광장로97번길 6,051-310-3120,https://jumin.busan.go.kr/dong/gwaebeop/main/main.jsp,,
211,부산광역시 ,공공,주민자치기관,감전동 주민센터,부산광역시 사상구 새벽시장로56번길 20,051-310-3140,https://jumin.busan.go.kr/dong/gamjeon1/main/main.jsp,,
212,부산광역시 ,공공,주민자치기관,주례제1동 주민센터,부산광역시 사상구 사상로 22,051-310-3160,https://jumin.busan.go.kr/dong/jurye1/main/main.jsp,,
213,부산광역시 ,공공,주민자치기관,주례제2동 주민센터,부산광역시 사상구 주례로10번길 15,051-310-3180,https://jumin.busan.go.kr/dong/jurye2/main/main.jsp,,
214,부산광역시 ,공공,주민자치기관,주례제3동 주민센터,부산광역시 사상구 냉정로 10,051-310-3200,https://jumin.busan.go.kr/dong/jurye3/main/main.jsp,,
215,부산광역시 ,공공,주민자치기관,학장동 주민센터,부산광역시 사상구 학감대로147번길 11,051-310-3220,https://jumin.busan.go.kr/dong/hakjang/main/main.jsp,,
216,부산광역시 ,공공,주민자치기관,엄궁동 주민센터,부산광역시 사상구 엄궁북로 15,051-310-3240,https://jumin.busan.go.kr/dong/eomgung/main/main.jsp,,
217,부산광역시 ,공공,국가 및 지자체,기장군청,부산광역시 기장군 기장읍 기장대로 560,051-709-4000,http://www.gijang.go.kr/index.gijang,,
218,부산광역시 ,공공,주민자치기관,기장읍 주민센터,부산광역시 기장군 기장읍 차성동로5번길 10,051-709-5111,https://jumin.busan.go.kr/dong/gijang/main/main.jsp,,
219,부산광역시 ,공공,주민자치기관,장안읍 주민센터,부산광역시 기장군 장안읍 좌방길 5,051-709-5174,https://jumin.busan.go.kr/dong/jangan/main/main.jsp,,
220,부산광역시 ,공공,주민자치기관,정관읍 주민센터,부산광역시 기장군 정관읍 용수로 4,051-709-5241,https://jumin.busan.go.kr/dong/jeonggwan/main/main.jsp,,
221,부산광역시 ,공공,주민자치기관,일광면 주민센터,부산광역시 기장군 일광면 일광로 77-7,051-709-5214,https://jumin.busan.go.kr/dong/ilgwang/main/main.jsp,,
222,부산광역시 ,공공,주민자치기관,철마면 주민센터,부산광역시 기장군 정관읍 곰내길 22,051-709-5271,https://jumin.busan.go.kr/dong/cheolma/main/main.jsp,,
223,부산광역시 ,공공,국가 및 지자체,부산인재평생교육진흥원,부산광역시 동래구 차밭골로 38-1,051-580-9000,http://www.bitle.kr/index.bitle,,
224,부산광역시 ,,,,,,,,
225,부산광역시 ,,,,,,,,
226,부산광역시 ,,,,,,,,
227,부산광역시 ,,,,,,,,
228,부산광역시 ,,,,,,,,
229,부산광역시 ,,,,,,,,
230,부산광역시 ,,,,,,,,
231,부산광역시 ,,,,,,,,
232,부산광역시 ,,,,,,,,
233,부산광역시 ,,,,,,,,
234,부산광역시 ,,,,,,,,
235,부산광역시 ,,,,,,,,
236,부산광역시 ,,,,,,,,
237,부산광역시 ,,,,,,,,
238,부산광역시 ,,,,,,,,
239,부산광역시 ,,,,,,,,
240,부산광역시 ,,,,,,,,
241,부산광역시 ,,,,,,,,
242,부산광역시 ,,,,,,,,
243,부산광역시 ,,,,,,,,
244,부산광역시 ,,,,,,,,
245,부산광역시 ,,,,,,,,
246,부산광역시 ,,,,,,,,
247,부산광역시 ,,,,,,,,
248,부산광역시 ,,,,,,,,
249,부산광역시 ,,,,,,,,
250,부산광역시 ,,,,,,,,
251,부산광역시 ,,,,,,,,
252,부산광역시 ,,,,,,,,
253,부산광역시 ,,,,,,,,
254,부산광역시 ,,,,,,,,
255,부산광역시 ,,,,,,,,
256,부산광역시 ,,,,,,,,
257,부산광역시 ,,,,,,,,
258,부산광역시 ,,,,,,,,
259,부산광역시 ,,,,,,,,
260,부산광역시 ,,,,,,,,
261,부산광역시 ,,,,,,,,
262,부산광역시 ,,,,,,,,
263,부산광역시 ,,,,,,,,
264,부산광역시 ,,,,,,,,
265,부산광역시 ,,,,,,,,
266,부산광역시 ,,,,,,,,
267,부산광역시 ,,,,,,,,
268,부산광역시 ,,,,,,,,
269,부산광역시 ,,,,,,,,
270,부산광역시 ,,,,,,,,
271,부산광역시 ,,,,,,,,
272,부산광역시 ,,,,,,,,
273,부산광역시 ,,,,,,,,
274,부산광역시 ,,,,,,,,
275,부산광역시 ,,,,,,,,
276,부산광역시 ,,,,,,,,
277,부산광역시 ,,,,,,,,
278,부산광역시 ,,,,,,,,
279,부산광역시 ,,,,,,,,
280,부산광역시 ,,,,,,,,
281,부산광역시 ,,,,,,,,
282,부산광역시 ,,,,,,,,
283,부산광역시 ,,,,,,,,
284,부산광역시 ,,,,,,,,
285,부산광역시 ,,,,,,,,
286,부산광역시 ,,,,,,,,
287,부산광역시 ,,,,,,,,
288,부산광역시 ,,,,,,,,
289,부산광역시 ,,,,,,,,
290,부산광역시 ,,,,,,,,
291,부산광역시 ,,,,,,,,
292,부산광역시 ,,,,,,,,
293,부산광역시 ,,,,,,,,
294,부산광역시 ,,,,,,,,
295,부산광역시 ,,,,,,,,
296,부산광역시 ,,,,,,,,
297,부산광역시 ,,,,,,,,
298,부산광역시 ,,,,,,,,
299,부산광역시 ,,,,,,,,
300,부산광역시 ,,,,,,,,
301,부산광역시 ,,,,,,,,
302,부산광역시 ,,,,,,,,
303,부산광역시 ,,,,,,,,
304,부산광역시 ,,,,,,,,
305,부산광역시 ,,,,,,,,
306,부산광역시 ,,,,,,,,
307,부산광역시 ,,,,,,,,
308,부산광역시 ,,,,,,,,
309,부산광역시 ,,,,,,,,
310,부산광역시 ,,,,,,,,
311,부산광역시 ,,,,,,,,
312,부산광역시 ,,,,,,,,
313,부산광역시 ,,,,,,,,
314,부산광역시 ,,,,,,,,
315,부산광역시 ,,,,,,,,
316,부산광역시 ,,,,,,,,
317,부산광역시 ,,,,,,,,
318,부산광역시 ,,,,,,,,
319,부산광역시 ,,,,,,,,
320,부산광역시 ,,,,,,,,
321,부산광역시 ,,,,,,,,
322,부산광역시 ,,,,,,,,
323,부산광역시 ,,,,,,,,
324,부산광역시 ,,,,,,,,
325,부산광역시 ,,,,,,,,
326,부산광역시 ,,,,,,,,
327,부산광역시 ,,,,,,,,
328,부산광역시 ,,,,,,,,
329,부산광역시 ,,,,,,,,
330,부산광역시 ,,,,,,,,
331,부산광역시 ,,,,,,,,
332,부산광역시 ,,,,,,,,
333,부산광역시 ,,,,,,,,
334,부산광역시 ,,,,,,,,
335,부산광역시 ,,,,,,,,
336,부산광역시 ,,,,,,,,
337,부산광역시 ,,,,,,,,
338,부산광역시 ,,,,,,,,
339,부산광역시 ,,,,,,,,
340,부산광역시 ,,,,,,,,
341,부산광역시 ,,,,,,,,
342,부산광역시 ,,,,,,,,
343,부산광역시 ,,,,,,,,
344,부산광역시 ,,,,,,,,
345,부산광역시 ,,,,,,,,
346,부산광역시 ,,,,,,,,
347,부산광역시 ,,,,,,,,
348,부산광역시 ,,,,,,,,
349,부산광역시 ,,,,,,,,
350,부산광역시 ,,,,,,,,
351,부산광역시 ,,,,,,,,
352,부산광역시 ,,,,,,,,
353,부산광역시 ,,,,,,,,
354,부산광역시 ,,,,,,,,
355,부산광역시 ,,,,,,,,
356,부산광역시 ,,,,,,,,
357,부산광역시 ,,,,,,,,
358,부산광역시 ,,,,,,,,
359,부산광역시 ,,,,,,,,
360,부산광역시 ,,,,,,,,
361,부산광역시 ,,,,,,,,
362,부산광역시 ,,,,,,,,
363,부산광역시 ,,,,,,,,
364,부산광역시 ,,,,,,,,
365,부산광역시 ,,,,,,,,
366,부산광역시 ,,,,,,,,
367,부산광역시 ,,,,,,,,
368,부산광역시 ,,,,,,,,
369,부산광역시 ,,,,,,,,
370,부산광역시 ,,,,,,,,
371,부산광역시 ,,,,,,,,
372,부산광역시 ,,,,,,,,
373,부산광역시 ,,,,,,,,
374,부산광역시 ,,,,,,,,
375,부산광역시 ,,,,,,,,
376,부산광역시 ,,,,,,,,
377,부산광역시 ,,,,,,,,
378,부산광역시 ,,,,,,,,
379,부산광역시 ,,,,,,,,
380,부산광역시 ,,,,,,,,
381,부산광역시 ,,,,,,,,
382,부산광역시 ,,,,,,,,
383,부산광역시 ,,,,,,,,
384,부산광역시 ,,,,,,,,
385,부산광역시 ,,,,,,,,
386,부산광역시 ,,,,,,,,
387,부산광역시 ,,,,,,,,
388,부산광역시 ,,,,,,,,
389,부산광역시 ,,,,,,,,
390,부산광역시 ,,,,,,,,
391,부산광역시 ,,,,,,,,
392,부산광역시 ,,,,,,,,
393,부산광역시 ,,,,,,,,
394,부산광역시 ,,,,,,,,
395,부산광역시 ,,,,,,,,
396,부산광역시 ,,,,,,,,
397,부산광역시 ,,,,,,,,
398,부산광역시 ,,,,,,,,
399,부산광역시 ,,,,,,,,
400,부산광역시 ,,,,,,,,
401,부산광역시 ,,,,,,,,
402,부산광역시 ,,,,,,,,
403,부산광역시 ,,,,,,,,
404,부산광역시 ,,,,,,,,
405,부산광역시 ,,,,,,,,
406,부산광역시 ,,,,,,,,
407,부산광역시 ,,,,,,,,
408,부산광역시 ,,,,,,,,
409,부산광역시 ,,,,,,,,
410,부산광역시 ,,,,,,,,
411,부산광역시 ,,,,,,,,
412,부산광역시 ,,,,,,,,
413,부산광역시 ,,,,,,,,
414,부산광역시 ,,,,,,,,
415,부산광역시 ,,,,,,,,
416,부산광역시 ,,,,,,,,
417,부산광역시 ,,,,,,,,
418,부산광역시 ,,,,,,,,
419,부산광역시 ,,,,,,,,
420,부산광역시 ,,,,,,,,
421,부산광역시 ,,,,,,,,
422,부산광역시 ,,,,,,,,
423,부산광역시 ,,,,,,,,
424,부산광역시 ,,,,,,,,
425,부산광역시 ,,,,,,,,
426,부산광역시 ,,,,,,,,
427,부산광역시 ,,,,,,,,
428,부산광역시 ,,,,,,,,
429,부산광역시 ,,,,,,,,
430,부산광역시 ,,,,,,,,
431,부산광역시 ,,,,,,,,
432,부산광역시 ,,,,,,,,
433,부산광역시 ,,,,,,,,
434,부산광역시 ,,,,,,,,
435,부산광역시 ,,,,,,,,
436,부산광역시 ,,,,,,,,
437,부산광역시 ,,,,,,,,
438,부산광역시 ,,,,,,,,
439,부산광역시 ,,,,,,,,
440,부산광역시 ,,,,,,,,
441,부산광역시 ,,,,,,,,
442,부산광역시 ,,,,,,,,
443,부산광역시 ,,,,,,,,
444,부산광역시 ,,,,,,,,
445,부산광역시 ,,,,,,,,
446,부산광역시 ,,,,,,,,
447,부산광역시 ,,,,,,,,
448,부산광역시 ,,,,,,,,
449,부산광역시 ,,,,,,,,
450,부산광역시 ,,,,,,,,
451,부산광역시 ,,,,,,,,
452,부산광역시 ,,,,,,,,
453,부산광역시 ,,,,,,,,
454,부산광역시 ,,,,,,,,
455,부산광역시 ,,,,,,,,
456,부산광역시 ,,,,,,,,
457,부산광역시 ,,,,,,,,
458,부산광역시 ,,,,,,,,
459,부산광역시 ,,,,,,,,
460,부산광역시 ,,,,,,,,
461,부산광역시 ,,,,,,,,
462,부산광역시 ,,,,,,,,
463,부산광역시 ,,,,,,,,
464,부산광역시 ,,,,,,,,
465,부산광역시 ,,,,,,,,
466,부산광역시 ,,,,,,,,
467,부산광역시 ,,,,,,,,
468,부산광역시 ,,,,,,,,
469,부산광역시 ,,,,,,,,
470,부산광역시 ,,,,,,,,
471,부산광역시 ,,,,,,,,
472,부산광역시 ,,,,,,,,
473,부산광역시 ,,,,,,,,
474,부산광역시 ,,,,,,,,
475,부산광역시 ,,,,,,,,
476,부산광역시 ,,,,,,,,
477,부산광역시 ,,,,,,,,
478,부산광역시 ,,,,,,,,
479,부산광역시 ,,,,,,,,
480,부산광역시 ,,,,,,,,
481,부산광역시 ,,,,,,,,
482,부산광역시 ,,,,,,,,
483,부산광역시 ,,,,,,,,
484,부산광역시 ,,,,,,,,
485,부산광역시 ,,,,,,,,
486,부산광역시 ,,,,,,,,
487,부산광역시 ,,,,,,,,
488,부산광역시 ,,,,,,,,
489,부산광역시 ,,,,,,,,
490,부산광역시 ,,,,,,,,
491,부산광역시 ,,,,,,,,
492,부산광역시 ,,,,,,,,
493,부산광역시 ,,,,,,,,
494,부산광역시 ,,,,,,,,
495,부산광역시 ,,,,,,,,
496,부산광역시 ,,,,,,,,
497,부산광역시 ,,,,,,,,
498,부산광역시 ,,,,,,,,
499,부산광역시 ,,,,,,,,
500,부산광역시 ,,,,,,,,
501,부산광역시 ,,,,,,,,
502,부산광역시 ,,,,,,,,
503,부산광역시 ,,,,,,,,
504,부산광역시 ,,,,,,,,
505,부산광역시 ,,,,,,,,
506,부산광역시 ,,,,,,,,
507,부산광역시 ,,,,,,,,
508,부산광역시 ,,,,,,,,
509,부산광역시 ,,,,,,,,
510,부산광역시 ,,,,,,,,
511,부산광역시 ,,,,,,,,
512,부산광역시 ,,,,,,,,
513,부산광역시 ,,,,,,,,
514,부산광역시 ,,,,,,,,
515,부산광역시 ,,,,,,,,
516,부산광역시 ,,,,,,,,
517,부산광역시 ,,,,,,,,
518,부산광역시 ,,,,,,,,
519,부산광역시 ,,,,,,,,
520,부산광역시 ,,,,,,,,
521,부산광역시 ,,,,,,,,
522,부산광역시 ,,,,,,,,
523,부산광역시 ,,,,,,,,
524,부산광역시 ,,,,,,,,
525,부산광역시 ,,,,,,,,
526,부산광역시 ,,,,,,,,
527,부산광역시 ,,,,,,,,
528,부산광역시 ,,,,,,,,
529,부산광역시 ,,,,,,,,
530,부산광역시 ,,,,,,,,
531,부산광역시 ,,,,,,,,
532,부산광역시 ,,,,,,,,
533,부산광역시 ,,,,,,,,
534,부산광역시 ,,,,,,,,
535,부산광역시 ,,,,,,,,
536,부산광역시 ,,,,,,,,
537,부산광역시 ,,,,,,,,
538,부산광역시 ,,,,,,,,
539,부산광역시 ,,,,,,,,
540,부산광역시 ,,,,,,,,
541,부산광역시 ,,,,,,,,
542,부산광역시 ,,,,,,,,
543,부산광역시 ,,,,,,,,
544,부산광역시 ,,,,,,,,
545,부산광역시 ,,,,,,,,
546,부산광역시 ,,,,,,,,
547,부산광역시 ,,,,,,,,
548,부산광역시 ,,,,,,,,
549,부산광역시 ,,,,,,,,
550,부산광역시 ,,,,,,,,
551,부산광역시 ,,,,,,,,
552,부산광역시 ,,,,,,,,
553,부산광역시 ,,,,,,,,
554,부산광역시 ,,,,,,,,
555,부산광역시 ,,,,,,,,
556,부산광역시 ,,,,,,,,
557,부산광역시 ,,,,,,,,
558,부산광역시 ,,,,,,,,
559,부산광역시 ,,,,,,,,
560,부산광역시 ,,,,,,,,
561,부산광역시 ,,,,,,,,
562,부산광역시 ,,,,,,,,
563,부산광역시 ,,,,,,,,
564,부산광역시 ,,,,,,,,
565,부산광역시 ,,,,,,,,
566,부산광역시 ,,,,,,,,
567,부산광역시 ,,,,,,,,
568,부산광역시 ,,,,,,,,
569,부산광역시 ,,,,,,,,
570,부산광역시 ,,,,,,,,
571,부산광역시 ,,,,,,,,
572,부산광역시 ,,,,,,,,
573,부산광역시 ,,,,,,,,
574,부산광역시 ,,,,,,,,
575,부산광역시 ,,,,,,,,
576,부산광역시 ,,,,,,,,
577,부산광역시 ,,,,,,,,
578,부산광역시 ,,,,,,,,
579,부산광역시 ,,,,,,,,
580,부산광역시 ,,,,,,,,
581,부산광역시 ,,,,,,,,
582,부산광역시 ,,,,,,,,
583,부산광역시 ,,,,,,,,
584,부산광역시 ,,,,,,,,
585,부산광역시 ,,,,,,,,
586,부산광역시 ,,,,,,,,
587,부산광역시 ,,,,,,,,
588,부산광역시 ,,,,,,,,
589,부산광역시 ,,,,,,,,
590,부산광역시 ,,,,,,,,
591,부산광역시 ,,,,,,,,
592,부산광역시 ,,,,,,,,
593,부산광역시 ,,,,,,,,
594,부산광역시 ,,,,,,,,
595,부산광역시 ,,,,,,,,
596,부산광역시 ,,,,,,,,
597,부산광역시 ,,,,,,,,
598,부산광역시 ,,,,,,,,
599,부산광역시 ,,,,,,,,
600,부산광역시 ,,,,,,,,
601,부산광역시 ,,,,,,,,
602,부산광역시 ,,,,,,,,
603,부산광역시 ,,,,,,,,
604,부산광역시 ,,,,,,,,
605,부산광역시 ,,,,,,,,
606,부산광역시 ,,,,,,,,
607,부산광역시 ,,,,,,,,
608,부산광역시 ,,,,,,,,
609,부산광역시 ,,,,,,,,
610,부산광역시 ,,,,,,,,
611,부산광역시 ,,,,,,,,
612,부산광역시 ,,,,,,,,
613,부산광역시 ,,,,,,,,
614,부산광역시 ,,,,,,,,
615,부산광역시 ,,,,,,,,
616,부산광역시 ,,,,,,,,
617,부산광역시 ,,,,,,,,
618,부산광역시 ,,,,,,,,
619,부산광역시 ,,,,,,,,
620,부산광역시 ,,,,,,,,
621,부산광역시 ,,,,,,,,
622,부산광역시 ,,,,,,,,
623,부산광역시 ,,,,,,,,
624,부산광역시 ,,,,,,,,
625,부산광역시 ,,,,,,,,
626,부산광역시 ,,,,,,,,
627,부산광역시 ,,,,,,,,
628,부산광역시 ,,,,,,,,
629,부산광역시 ,,,,,,,,
630,부산광역시 ,,,,,,,,
631,부산광역시 ,,,,,,,,
632,부산광역시 ,,,,,,,,
633,부산광역시 ,,,,,,,,
634,부산광역시 ,,,,,,,,
635,부산광역시 ,,,,,,,,
636,부산광역시 ,,,,,,,,
637,부산광역시 ,,,,,,,,
638,부산광역시 ,,,,,,,,
639,부산광역시 ,,,,,,,,
640,부산광역시 ,,,,,,,,
641,부산광역시 ,,,,,,,,
642,부산광역시 ,,,,,,,,
643,부산광역시 ,,,,,,,,
644,부산광역시 ,,,,,,,,
645,부산광역시 ,,,,,,,,
646,부산광역시 ,,,,,,,,
647,부산광역시 ,,,,,,,,
648,부산광역시 ,,,,,,,,
649,부산광역시 ,,,,,,,,
650,부산광역시 ,,,,,,,,
651,부산광역시 ,,,,,,,,
652,부산광역시 ,,,,,,,,
653,부산광역시 ,,,,,,,,
654,부산광역시 ,,,,,,,,
655,부산광역시 ,,,,,,,,
656,부산광역시 ,,,,,,,,
657,부산광역시 ,,,,,,,,
658,부산광역시 ,,,,,,,,
659,부산광역시 ,,,,,,,,
660,부산광역시 ,,,,,,,,
661,부산광역시 ,,,,,,,,
662,부산광역시 ,,,,,,,,
663,부산광역시 ,,,,,,,,
664,부산광역시 ,,,,,,,,
